Eventos,Oro,Plata,Bronce,Año,Genero
55 kg (06.04),Mirco Scarantino Italia  116 + 145 = 261[n 1]​,Anguel Rusev Bulgaria  110 + 146 = 256[n 1]​,Muammer Şahin Turquía  112 + 135 = 247[n 1]​,2019,Masculino
61 kg (07.04),Henadz Laptseu Bielorrusia  133 + 153 = 286,Bünyamin Sezer Turquía  132 + 151 = 283,Ferdi Hardal Turquía  127 + 155 = 282,2019,Masculino
67 kg (08.04),Bernardin Matam Francia  137 + 175 = 312,Simon Brandhuber Alemania  146 + 165 = 311,Goga Chjeidze Georgia  139 + 169 = 308,2019,Masculino
73 kg (09.04),Bozhidar Andreev Bulgaria  153 + 192 = 345,Briken Calja Albania  156 + 183 = 339,Vadzim Lijarad Bielorrusia  153 + 182 = 335,2019,Masculino
81 kg (10.04),Antonino Pizzolato Italia  155 + 201 = 356,Piotr Asayonak Bielorrusia  159 + 196 = 355,Ritvars Suharevs Letonia  162 + 192 = 354,2019,Masculino
89 kg (11.04),Hakob Mkrtchian Armenia  164 + 207 = 371,Revaz Davitadze Georgia  170 + 200 = 370,Davit Hovhannisian Armenia  165 + 195 = 360,2019,Masculino
96 kg (12.04),Yauheni Tsijantsou Bielorrusia  178 + 222 = 400,Yegor Klimonov Rusia  168 + 210 = 378,Anton Pliesnoi Georgia  173 + 204 = 377,2019,Masculino
102 kg (13.04),Dmytro Chumak Ucrania  175 + 216 = 391,Samvel Gasparian Armenia  168 + 209 = 377,Vadzim Straltsou Bielorrusia  170 + 206 = 376,2019,Masculino
109 kg (13.04),Simon Martirosian Armenia  192 + 235 = 427,Andrei Aramnau Bielorrusia  190 + 221 = 411,Rodion Bochkov Rusia  192 + 218 = 410,2019,Masculino
+109 kg (13.04),Lasha Talajadze Georgia  218 + 260 = 478,Irakli Turmanidze Georgia  206 + 241 = 447,Ruben Alexanian Armenia  195 + 245 = 440,2019,Masculino
45 kg (06.04),Şaziye Erdoğan Turquía  75 + 88 = 163[n 1]​,Ivana Petrova Bulgaria  69 + 89 = 158[n 1]​,Yuliya Asayonak Bielorrusia  69 + 81 = 150[n 1]​,2019,Femenino
49 kg (06.04),Elena Andrieș Rumania  87 + 103 = 190,Kristina Sobol Rusia  85 + 95 = 180,Giorgia Russo Italia  75 + 103 = 178,2019,Femenino
55 kg (07.04),Joanna Łochowska Polonia  87 + 112 = 199,Svetlana Yershova Rusia  90 + 108 = 198,Kristina Novitskaya Rusia  85 + 105 = 190,2019,Femenino
59 kg (08.04),Rebeka Koha Letonia  101 + 120 = 221,Tatiana Aleyeva Rusia  94 + 120 = 214,Alexandra Kozlova Rusia  96 + 117 = 213,2019,Femenino
64 kg (09.04),Loredana Toma Rumania  111 + 128 = 239,Irina Lepșa Rumania  102 + 127 = 229,Zoe Smith Reino Unido  96 + 128 = 224,2019,Femenino
71 kg (10.04),Anastasiya Romanova Rusia  112 + 128 = 240,Emily Godley Reino Unido  93 + 123 = 216,Mădălina Molie Rumania  101 + 114 = 215,2019,Femenino
76 kg (11.04),Daria Naumava Bielorrusia  106 + 136 = 242,Lidia Valentín[2]​ España  108 + 133 = 241,Patricia Strenius Suecia  101 + 132 = 233,2019,Femenino
81 kg[n 2]​ (12.04),Nina Schroth Alemania  102 + 120 = 222,Anna Van Bellinghen Bélgica  103 + 118 = 221,Liana Guiurdzhian Armenia  97 + 120 = 217,2019,Femenino
87 kg (12.04),Xeniya Pasjina Rusia  110 + 132 = 242,Diana Mstiyeva Rusia  110 + 130 = 240,Sarah Fischer Austria  102 + 129 = 231,2019,Femenino
+87 kg (13.04),Tatiana Kashirina Rusia  146 + 185 = 331,Anastasiya Lysenko Ucrania  120 + 148 = 268,Emily Campbell Reino Unido  115 + 145 = 260,2019,Femenino
